title,lccn,start_year,end_year,frequency,frequency_normalized,language,place,place_of_publication
The Borderland of two republics. [volume],sn86089581,1905,9999,Weekly,Weekly,English,Texas-Webb-Laredo,"Laredo, Tex."
Borger daily herald. [volume],sn86088132,1926,1999,Daily (except Sat.),Daily,English,Texas-Hutchinson-Borger,"Borger, Tex."
Borger news-herald. [volume],sn86088170,1900,9999,Daily (except Sun.),Daily,English,Texas-Hutchinson-Borger,"Borger, Tex."
The Bosque beacon. [volume],sn84022070,1800,1899,Weekly,Weekly,English,Texas-Bosque-Meridian,"Meridian, Bosque County, Tex."
The Bosque citizen.,sn86089254,1886,1893,Weekly,Weekly,English,Texas-Bosque-Meridian|Texas-Bosque-Morgan|Texas-Bosque-Walnut Springs,"Walnut Springs, Tex."
The Bosque County blade.,sn86089882,1877,1887,Weekly,Weekly,English,Texas-Bosque-Meridian,"Meridian, Tex."
Bosque County news. [volume],sn94059109,1980,9999,Weekly,Weekly,English,Texas-Bosque-Meridian,"Meridian, Tex."
Bosque County standard. [volume],sn84022071,1800,1899,NA,Missing,English,Texas-Bosque-Meridian,"Meridian, Tex."
The Bosque entertainer & Lake Whitney star. [volume],sn85004831,1980,9999,Weekly,Weekly,English,Texas-Bosque-Clifton,"Clifton, Tex."
The Bosque globe.,sn88083355,1981,9999,Weekly,Weekly,English,Texas-Bosque-Clifton,"Clifton, Tex."
The Bosque herald.,sn87090401,1800,9999,Weekly,Weekly,English,Texas-Bosque-Meridian,"Meridian, Tex."
Der beobachter. [volume],sn86090295,1880,1899,Weekly,Weekly,German,Texas-Bexar-San Antonio,"San Antonio, Tex."
Berclair herald. [volume],sn86088175,1892,1999,Weekly,Weekly,English,Texas-Goliad-Berclair,"Berclair, Tex."
The Bergstrom commando.,sn86090726,1944,1999,Weekly,Weekly,English,Texas-Travis-Austin,"Austin, Tex."
Bergstrom jet gazette.,sn87090602,1900,9999,Weekly,Weekly,English,Texas-Travis-Austin,"Austin, Tex."
Bertram enterprise.,sn87090425,1900,9999,Weekly,Weekly,English,Texas-Burnet-Bertram,"Bertram, Tex."
Bertram-Liberty Hill news.,sn88083283,1987,9999,Weekly,Weekly,English,Texas-Burnet-Bertram,"Bertram, Tex."
The Best oil review.,sn88084075,1924,1999,Weekly,Weekly,English,Texas-Reagan-Best,"Best, Tex."
The Bexar facts.,sn86090044,1929,9999,Weekly,Weekly,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
Bi-city banner.,sn88083317,1950,9999,Weekly,Weekly,English,Texas-Orange-Bridge City,"Bridge City, Tex."
The Bi-stone weekly news.,sn88083673,1962,9999,Weekly,Weekly,English,Texas-Limestone-Mexia,"Mexia, Tex."
The DeLeon free press. [volume],sn86088793,1889,1999,Weekly,Weekly,English,Texas-Comanche-De Leon,"De Leon, Tex."
Dell Valley review. [volume],sn86088806,1956,1964,Weekly,Weekly,English,Texas-Hudspeth-Dell City,"Dell City, Tex."
The Della Plain review.,sn87091000,1880,9999,Weekly,Weekly,English,Texas-Floyd-Della Plain,"Della Plain, Floyd County, Tex."
Delta County banner. [volume],sn86088669,1884,1999,Weekly,Weekly,English,Texas-Delta-Cooper,"Cooper, Tex."
The Delta County record.,sn83021355,1870,1899,Frequency unknown,Missing,English,Texas-Delta-Cooper,"Cooper, Tex."
The Delta courier.,sn88083550,1000,1942,Weekly,Weekly,English,Texas-Delta-Cooper,"Cooper, Tex."
Delta irrigation news. [volume],sn86089713,1926,9999,Weekly,Weekly,English,Texas-Cameron-Harlingen|Texas-Hidalgo-McAllen,"McAllen, Tex."
The Delta news.,sn88083719,1900,9999,Weekly,Weekly,English,Texas-Hidalgo-Elsa,"Elsa, Tex."
La democracia.,sn87055524,1900,9999,Weekly,Weekly,Spanish,Texas-El Paso-El Paso,"El Paso, Tex."
Democracy : official organ of the Good Government Forum. [volume],sn86089499,1942,1999,NA,Missing,English,Texas-Dallas-Dallas,"Dallas, Tex."
Democracy.,sn88083839,1901,1999,Weekly,Weekly,English,Texas-Trinity-Trinity,"Trinity, Tex."
The Democrat = El Democrata. [volume],sn83021607,1875,1899,Semiweekly,Semiweekly,English|Spanish,Texas-Cameron-Brownsville,"Brownsville, Tex."
Democrat and planter. [volume],sn86088542,1855,1999,Weekly,Weekly,English,Texas-Brazoria-Columbia,"Columbia, Tex."
The Democrat and ranchero. [volume],sn86071136,1879,1880,Semiweekly,Semiweekly,English,Texas-Cameron-Brownsville,"Brownsville, Tex."
The Democrat-gazette.,sn88084268,1906,1906,Daily,Daily,English,Texas-Collin-McKinney,"McKinney, Tex."
The Democrat-voice. [volume],sn86088448,1910,1927,Weekly,Weekly,English,Texas-Coleman-Coleman,"Coleman, Tex."
The Democrat. [volume],sn86088326,1884,9999,Weekly,Weekly,English,Texas-Leon-Centerville|Texas-Leon-Centreville,"Centreville, Tex."
The Democrat.,sn86089342,1882,1883,Daily (except Sun.),Daily,English,Texas-Tarrant-Fort Worth,"Fort Worth, Tex."
The Democrat.,sn86089835,1884,1906,Weekly,Weekly,English,Texas-Collin-McKinney,"McKinney, Tex."
The Democrat.,sn86090225,1875,1899,Semiweekly,Semiweekly,English,Texas-Cameron-Brownsville,"Brownsville, Tex."
The Democrat.,sn87090249,1932,9999,NA,Missing,English,Texas-Galveston-Galveston,"Galveston, Tex."
The Democrat.,sn87091229,1900,9999,NA,Missing,English,Texas-Harris-Goose Creek,"Goose Creek, Tex."
The Diboll news-bulletin.,sn88083954,1955,1958,Weekly,Weekly,English,Texas-Angelina-Diboll,"Diboll, Tex."
Dickens Co. times. [volume],sn86088457,1924,1999,Weekly,Weekly,English,Texas-Dickens-Spur,"Spur, Tex."
The Dilley herald.,sn88083501,1900,9999,Weekly,Weekly,English,Texas-Frio-Dilley,"Dilley, Tex."
The Dilly Texanne.,sn86090850,1900,1999,NA,Missing,English,Texas-Travis-Austin,"Austin, Tex."
The Dimmitt weekly signal.,sn86088038,1897,1999,Weekly,Weekly,English,Texas-Castro-Dimmitt,"Dimmitt, Tex."
The Dinero merchant. [volume],sn91072501,1901,1999,Monthly,Monthly,English,Texas-Live Oak-Dinero,"Dinero, Tex."
The dinner horn. [volume],sn86088877,1890,1916,Daily,Daily,English,Texas-Lamar-Paris,"Paris, Tex."
The dinner horn. [volume],sn94059103,1920,1933,Daily,Daily,English,Texas-Lamar-Paris,"Paris, Tex."
El diputado. [volume],sn86089627,1882,9999,Weekly,Weekly,Spanish,Texas-Webb-Laredo,"Laredo, Tex."
The Dirt farmer-stockman.,sn86088243,1941,9999,Weekly,Weekly,English,Texas-Travis-Austin,"Austin, Tex."
The Dispatch news.,sn87090680,1974,1979,Weekly,Weekly,English,Texas-McLennan-Waco,"Waco, Tex."
Dispatch-journal.,sn87090851,1938,9999,Daily,Daily,English,Texas-Dallas-Dallas,"Dallas, Tex."
The Dispatch-press.,sn87090681,1974,9999,Weekly,Weekly,English,Texas-McLennan-Waco,"Waco, Tex."
The dispatch.,sn87090679,1973,1973,Weekly,Weekly,English,Texas-McLennan-Waco,"Waco, Tex."
The dispatch.,sn88084245,1977,1999,Weekly,Weekly,English,Texas-McLennan-Waco,"Waco, Tex."
Diversified farming.,sn88083827,1900,9999,Monthly,Monthly,English,Texas-Dallas-Dallas,"Dallas, Tex."
El di´a.,sn87055525,1910,9999,Daily,Daily,Spanish,Texas-El Paso-El Paso,"El Paso, Tex."
Dodo dope.,sn86090735,1943,1999,Weekly,Weekly,English,Texas-Fannin-Bonham,"Bonham, Tex."
The Dog. [volume],sn86088524,1879,1999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
El Democrata fronterizo. [online resource],2013218990,1896,1920,Daily (except Sun.),Daily,Spanish,Texas-Webb-Laredo,"Laredo, Texas"
El Democrata fronterizo. [volume],sn83045001,1896,1920,Daily (except Sun.),Daily,Spanish,Texas-Webb-Laredo,"Laredo, Tex."
El Democrata. [volume],sn86090108,1915,1999,Weekly,Weekly,Spanish,Texas-Zapata-San Ygnacio,"San Ygnacio, Tex."
El Democrata.,sn86090226,1875,1889,Semiweekly,Semiweekly,Spanish,Texas-Cameron-Brownsville,"Brownsville, Tex."
The Democratic farmer.,sn86089247,1883,1889,Weekly,Weekly,English,Texas-Leon-Centerville|Texas-Leon-Centreville,"Centreville, Tex."
The Democratic platform : for the campaign.,sn86088080,1859,1859,Irregular,Irregular,English,Texas-Travis-Austin,"Austin, Tex."
The democratic statesman.,sn86088324,1871,1879,Triweekly,Semimonthly,English,Texas-Travis-Austin,"Austin, Tex."
Democratic telegraph and Texas register. [volume],sn86071151,1846,1851,Weekly (Semiweekly during sessions of legislature),Weekly,English,Texas-Harris-Houston,"Houston, Tex."
The Detroit news-herald.,sn88083880,1000,1999,Weekly,Weekly,English,Texas-Red River-Detroit,"Detroit, Tex."
The Detroit news.,sn83004520,1900,9999,Weekly,Weekly,English,Texas-Detroit,"Mt. Pleasant, Tex."
Der Deutsche Christliche apologete.,sn91069036,1855,1855,Weekly,Weekly,German,Texas-Galveston-Galveston,"Galveston, Tex."
Deutsche Rundschau. [volume],sn86088603,1891,1999,Semiweekly,Semiweekly,German,Texas-DeWitt-Cuero,"Cuero, Tex."
Deutsche Stimme.,sn88080919,1945,1949,Weekly,Weekly,German,Texas-Lamar-Camp Maxey,"[Camp] Maxey, Tex."
Deutsche zeitung fu¨r Texas. [volume],sn86090360,1882,1999,Weekly,Weekly,German,Texas-Victoria-Victoria,"Victoria, Tex."
Deutsche zeitung und anzeiger. [volume],sn86089643,1894,1999,Weekly,Weekly,English|German,Texas-Harris-Houston,"Houston, Tex."
Devil's River news. [volume],sn86089432,1890,9999,Weekly,Weekly,English,Texas-Sutton-Sonora,"Sonora, Tex."
The Devine news.,sn86089245,1897,9999,Weekly,Weekly,English,Texas-Atascosa-Lytle|Texas-Medina-Devine,"Devine, Tex."
The Devine reporter.,sn87090682,1900,9999,Weekly,Weekly,English,Texas-Medina-Devine,"Devine, Tex."
The Devine wide-awake. [volume],sn86088736,1889,9999,NA,Missing,English,Texas-Medina-Devine,"Devine, Tex."
DeWitt County view.,sn88083902,1900,9999,Weekly,Weekly,English,Texas-DeWitt-Yorktown,"Yorktown, Tex."
The Dialville reporter. [volume],sn86088733,1916,9999,NA,Missing,English,Texas-Cherokee-Dialville,"Dialville, Tex."
East Texas Baptist.,sn88083250,1928,1999,Weekly,Weekly,English,Texas-Smith-Tyler,"Tyler, Tex."
The East Texas bee.,sn88083080,1902,9999,Semiweekly,Semiweekly,English,Texas-Liberty-Liberty,"Liberty, Tex."
The East Texas bulletin. [volume],sn85033377,1871,1899,Weekly,Weekly,English,Texas-Harrison-Marshall,"Marshall, Tex."
East Texas Catholic.,sn87090826,1982,9999,Bimonthly,Bimonthly,English,Texas-Jefferson-Beaumont,"Houston, Tex."
East Texas daily leader. [volume],sn84022018,1800,1899,Daily,Daily,English,Texas-Marion-Jefferson,"Jefferson, Tex."
The East Texas democrat. [volume],sn85033364,1872,1899,Weekly,Weekly,English,Texas-Jasper-Jasper,"Jasper, Tex."
The East Texas eye.,sn88083069,1968,9999,Weekly,Weekly,English,Texas-Polk-Goodrich,"Goodrich, Tex."
East Texas free voice.,sn88083977,1972,9999,Biweekly,Semimonthly,English,Texas-Nacogdoches-Nacogdoches,"Nacogdoches, Tex."
East Texas light.,sn91072546,1925,1983,Weekly,Weekly,English,Texas-Shelby-Tenaha,"Tenaha, Shelby County, Tex."
The East Texas news.,sn86089840,1884,1898,Weekly,Weekly,English,Texas-Anderson-Palestine,"Palestine, Tex."
The East Texas news.,sn88083908,1900,9999,Weekly,Weekly,English,Texas-Jasper-Buna,"Buna, Tex."
East Texas oil journal. [volume],sn86089316,1931,1931,Weekly,Weekly,English,Texas-Gregg-Gladewater,"Gladewater, Tex."
East Texas pinery. [volume],sn85033466,1882,1898,Weekly,Weekly,English,Texas-Polk-Livingston,"Livingston, Tex."
East Texas progress.,sn88083955,1800,1999,NA,Missing,English,Texas-San Augustine-San Augustine,"San Augustine, Tex."
East Texas register. [volume],sn86088387,1901,1999,Weekly,Weekly,English,Texas-Panola-Carthage,"Carthage, Tex."
The East Texas times.,sn86089244,1936,1937,Weekly,Weekly,English,Texas-Upshur-Big Sandy,"Big Sandy, Tex."
The East Texas times.,sn86089386,1800,1999,NA,Missing,English,Texas-Rusk-Henderson,"Henderson, Tex."
The East-Texas clarion. [volume],sn86089444,1859,9999,Weekly,Weekly,English,Texas-Jasper-Jasper,"Jasper, Tex."
Eastern star.,sn87090695,1976,1999,Bimonthly,Bimonthly,English,Texas-Travis-Austin,"Austin, Tex."
Eastern Texas gazette. [volume],sn86089617,1857,1858,Weekly,Weekly,English,Texas-Marion-Jefferson,"Jefferson, Tex."
The Eastern Texas news.,sn86089841,1875,1884,Weekly,Weekly,English,Texas-Anderson-Palestine,"Palestine, Tex."
The Eastern Texian. [volume],sn86089504,1857,1859,Weekly,Weekly,English,Texas-San Augustine-San Augustine,"San Augustine, Tex."
Eastex advocate.,sn88083055,1900,9999,Weekly,Weekly,English,Texas-Liberty-Cleveland,"Cleveland, Tex."
The Eastex news.,sn88083056,1982,9999,NA,Missing,English,Texas-Liberty-Cleveland,"Cleveland, Tex."
Eastland argus-tribune and Eastland daily tribune. [volume],sn86064198,1927,1928,Daily (except Sat.),Daily,English,Texas-Eastland-Eastland,"Eastland, Tex."
The Eastland chronicle. [volume],sn86088908,1887,1905,Weekly,Weekly,English,Texas-Eastland-Eastland,"Eastland, Tex."
Eastland County bulletin and Eastland chronicle.,sn86090740,1905,1937,Weekly,Weekly,English,Texas-Eastland-Eastland,"Eastland, Tex."
The Eastland County news. [volume],sn86088480,1926,9999,Weekly,Weekly,English,Texas-Eastland-Ranger,"Ranger, Eastland Co., Tex."
Eastland County record. [volume],sn86088490,1900,1999,Weekly,Weekly,English,Texas-Eastland-Eastland,"Eastland, Tex."
Eastland County weekly record. [volume],sn86088481,1931,1999,Weekly,Weekly,English,Texas-Eastland-Eastland,"Eastland, Tex."
Eastland daily tribune and the Eastland daily oil belt news.,sn86089140,1900,1927,Daily (except Sat.),Daily,English,Texas-Eastland-Eastland,"Eastland, Tex."
Eastland telegram and weekly chronicle. [volume],sn86088487,1947,1953,Weekly,Weekly,English,Texas-Eastland-Eastland,"Eastland, Tex."
Eastland telegram. [volume],sn86088486,1953,9999,Semiweekly,Semiweekly,English,Texas-Eastland-Eastland,"Eastland, Tex."
Eastland telegram. [volume],sn86088489,1928,1942,Daily (except Sat.),Daily,English,Texas-Eastland-Eastland,"Eastland, Tex."
El demo´crata. [volume],sn87090214,1900,9999,Weekly,Weekly,English|Spanish,Texas-Duval-San Diego,"San Diego, Tex."
El demo´crata.,sn93068233,1944,1999,Weekly,Weekly,English|Spanish,Texas-Travis-Austin,"Austin, Tex."
Denison daily cresset. [volume],sn83021365,1874,1877,Daily (except Sun.),Daily,English,Texas-Grayson-Denison,"Denison, Tex."
Denison daily herald. [volume],sn88083063,1877,1999,Daily,Daily,English,Texas-Grayson-Denison,"Denison, Tex."
Denison daily news. [volume],sn83021367,1873,1880,Daily,Daily,English,Texas-Grayson-Denison,"Denison, Tex."
The Denison herald. [volume],sn86089408,1900,9999,Daily (except Sat.),Daily,English,Texas-Grayson-Denison,"Denison, Tex."
Denison journal. [volume],sn85033345,1872,1873,Weekly,Weekly,English,Texas-Grayson-Denison,"Denison, Tex."
Denison morning gazette and Sunday gazetteer. [volume],sn86088795,1915,9999,Daily,Daily,English,Texas-Grayson-Denison,"Denison, Tex."
Denison morning news.,sn86089894,1880,1908,Daily,Daily,English,Texas-Grayson-Denison,"Denison, Tex."
The Denison news. [volume],sn83021368,1872,1880,Weekly,Weekly,English,Texas-Grayson-Denison,"Denison, Tex."
The Denison press.,sn88083886,1900,1999,Daily,Daily,English,Texas-Grayson-Denison,"Denison, Tex."
Denison weekly cresset. [volume],sn83021366,1800,1899,Weekly,Weekly,English,Texas-Grayson-Denison,"Denison, Tex."
Denison weekly times. [volume],sn86088755,1873,1999,Weekly,Weekly,English,Texas-Grayson-Denison,"Denison, Tex."
The Denrock sun.,sn86090671,1901,1999,NA,Missing,English,Texas-Dallam-Dalhart|Texas-Dallam-Denrock,"Denrock, Tex."
Denton County enterprise.,sn88083200,1900,9999,Weekly,Weekly,English,Texas-Denton-Denton|Texas-Denton-Sanger,"Denton, Tex."
Denton County express.,sn88083121,1987,9999,Monthly,Monthly,English,Texas-Denton-Argyle|Texas-Denton-Lake Dallas,"Argyle, Tex."
Denton County news. [volume],sn86088739,1892,9999,Weekly,Weekly,English,Texas-Denton-Denton,"Denton, Tex."
Denton County record and chronicle.,sn88083266,1881,9999,Daily,Daily,English,Texas-Denton-Denton,"Denton, Tex."
Denton County record. [volume],sn86088683,1883,1999,Weekly,Weekly,English,Texas-Denton-Denton,"Denton, Tex."
Denton evening news.,sn88083239,1899,9999,Daily,Daily,English,Texas-Denton-Denton,"Denton, Tex."
The Denton herald.,sn88083237,1923,9999,Weekly,Weekly,English,Texas-Denton-Denton,"Denton, Tex."
The Denton monitor. [volume],sn83021369,1868,1999,Weekly,Weekly,English,Texas-Denton-Denton,"Denton, Tex."
Denton morning news.,sn88083236,1906,9999,Daily,Daily,English,Texas-Denton-Denton,"Denton, Tex."
Denton record-chronicle. [volume],sn86088888,1915,9999,Daily (except Sat.),Daily,English,Texas-Denton-Denton,"Denton, Tex."
The Denton review. [volume],sn83021370,1870,1899,NA,Missing,English,Texas-Denton-Denton,"Denton, Tex."
Denver City press. [volume],sn86088455,1950,9999,Weekly,Weekly,English,Texas-Yoakum-Denver city,"Denver City, Tex."
Denver City Sunday press. [volume],sn86088456,1962,9999,Weekly,Weekly,English,Texas-Yoakum-Denver city,"Denver City, Tex."
The Deport times. [volume],sn86088727,1909,9999,Weekly,Weekly,English,Texas-Lamar-Deport,"Deport, Tex."
The Desert-Mountain times.,2005213648,2000,9999,Weekly,Weekly,English,Texas-Alpine,"Alpine, TX"
DeSoto news-advertiser. [volume],sn84009972,1900,9999,Weekly,Weekly,English,Texas-Dallas-DeSoto|Texas-Dallas-Duncanville,"DeSoto, Tex."
The Duval County circuit.,sn88083829,1900,9999,Weekly,Weekly,English,Texas-Duval-San Diego,"San Diego, Tex."
Duval County facts. [volume],sn86090111,1927,1999,Weekly,Weekly,English,Texas-Duval-San Diego,"San Diego, Tex."
Duval County maverick.,sn87090450,1958,9999,Weekly,Weekly,English|Spanish,Texas-Duval-San Diego,"San Diego, Tex."
Duval County picture.,sn87002010,1986,9999,Weekly,Weekly,English,Texas-Duval-San Diego,"San Diego, Tex."
The Eagle eye.,sn86090769,1942,1945,Weekly,Weekly,English,Texas-Maverick-Eagle Pass,"Eagle Pass, Tex."
Eagle Lake advertiser.,sn83083207,1893,1999,Weekly,Weekly,English,Texas-Colorado-Eagle Lake,"Eagle Lake, Tex."
The Eagle Lake canoe.,sn88083208,1800,9999,Weekly,Weekly,English,Texas-Colorado-Eagle Lake,"Eagle Lake, Tex."
The Eagle Lake gimlet.,sn88083485,1800,9999,NA,Missing,English,Texas-Colorado-Eagle Lake,"Eagle Lake, Tex."
Eagle Lake headlight. [volume],sn86088718,1903,9999,Weekly,Weekly,English,Texas-Colorado-Eagle Lake,"Eagle Lake, Tex."
Eagle Pass chronicle.,sn88083502,1964,9999,Semiweekly,Semiweekly,English,Texas-Maverick-Eagle Pass,"Eagle Pass, Tex."
Eagle Pass daily guide.,sn88083542,1888,9999,Weekly,Weekly,English,Texas-Maverick-Eagle Pass,"Eagle Pass, Tex."
Eagle Pass guide. [volume],sn86088719,1888,1909,Weekly,Weekly,English,Texas-Maverick-Eagle Pass,"Eagle Pass, Tex."
The Eagle Pass herald.,sn88083543,1900,9999,Weekly,Weekly,English,Texas-Maverick-Eagle Pass,"Eagle Pass, Tex."
Eagle Pass news-guide. [volume],sn86089874,1948,9999,Weekly,Weekly,English,Texas-Maverick-Eagle Pass,"Eagle Pass, Tex."
Eagle Pass news-guide.,sn88084274,1900,1917,Weekly,Weekly,English,Texas-Maverick-Eagle Pass,"Eagle Pass, Tex."
The Eagle Pass times. [volume],sn94052791,1880,1999,Weekly,Weekly,English,Texas-Maverick-Eagle Pass,"Eagle Pass, Tex."
The eagle-investigator.,sn86089102,1900,1999,Weekly,Weekly,English,Texas-Ochiltree-Perryton,"Perryton, Tex."
The Eagle. [volume],sn86088517,1972,1981,Daily,Daily,English,Texas-Brazos-Bryan|Texas-Brazos-College Station,"Bryan, Tex."
The eagle.,sn88083568,1964,1965,Weekly,Weekly,English,Texas-Anderson-Elkhart|Texas-Anderson-Palestine,"Palestine, Tex."
The Early American.,sn87091207,1979,9999,Weekly,Weekly,English,Texas-Brown-Early,"Brownwood, Tex."
The Early reporter.,sn88083280,1979,9999,Weekly,Weekly,English,Texas-Brown-Early,"Early, Tex."
The Earth news-sun. [volume],sn86088763,1956,9999,Weekly,Weekly,English,Texas-Lamb-Earth,"Earth, Tex."
The Earth news. [volume],sn86088831,1954,1956,Weekly,Weekly,English,Texas-Lamb-Earth,"Earth, Tex."
The Earth sun. [volume],sn86088764,1946,1956,Weekly,Weekly,English,Texas-Lamb-Earth,"Earth, Tex."
Earth weekly news.,sn86090612,1985,9999,Weekly,Weekly,English,Texas-Lamb-Earth,"Earth, Tex."
East Austin times.,sn87090698,1967,9999,Weekly,Weekly,English,Texas-Travis-Austin,"Austin, Tex."
East Dallas banner.,sn87090697,1975,9999,Monthly,Monthly,English,Texas-Dallas-Dallas,"Dallas, Tex."
The East Dallas extra.,sn88083143,1986,9999,Monthly,Monthly,English,Texas-Dallas-Dallas,"Dallas, Tex."
East Dallas news.,sn87090696,1974,9999,Monthly,Monthly,English,Texas-Dallas-Dallas,"Dallas, Tex."
East Dallas progress.,sn88083209,1940,9999,Weekly,Weekly,English,Texas-Dallas-Dallas,"Dallas, Tex."
East Dallas today.,sn87090694,1984,9999,Biweekly,Semimonthly,English,Texas-Dallas-Dallas,"Dallas, Tex."
East Harris County news-tribune. [volume],sn86089587,1937,1938,Weekly,Weekly,English,Texas-Harris-Goose Creek|Texas-Harris-La Porte|Texas-Harris-Pasadena,"Goose Creek, Tex."
The Donley County leader and the Clarendon news.,sn86088972,1945,1979,Weekly,Weekly,English,Texas-Donley-Clarendon,"Clarendon, Tex."
The Donley County leader.,sn86088971,1929,1945,Weekly,Weekly,English,Texas-Donley-Clarendon,"Clarendon, Tex."
The Donna news.,sn88083686,1900,9999,Weekly,Weekly,English,Texas-Hidalgo-Donna,"Donna, Tex."
Las dos Ame´ricas.,sn87055526,1898,9999,Weekly,Weekly,Spanish,Texas-El Paso-El Paso,"El Paso, Tex."
Las dos Republicas.,sn88083793,1800,9999,NA,Missing,Spanish,Texas-Cameron-Brownsville,"Brownsville, Tex."
Die Dreimalwochentliche Texas Post. [volume],sn85033353,1800,1899,Triweekly,Semimonthly,German,Texas-Galveston-Galveston,Galveston [Tex.]
The Dripping Springs dispatch.,sn83003591,1983,9999,Weekly (except 1st week Jan./4th week July),Weekly,English,Texas-Hays-Dripping Springs,"Dripping Springs, Tex."
Dritte ausstellung. [volume],sn86090090,1871,1871,Daily (during the fair),Irregular,German,Texas-Bexar-San Antonio,"San Antonio, Tex."
The Drum tap.,sn86090221,1862,1869,Weekly,Weekly,English,Texas-Brazoria-Velasco,"Velasco, Tex."
The Dublin enterprise. [volume],sn86088732,1881,9999,Weekly,Weekly,English,Texas-Erath-Dublin,"Dublin, Tex."
The Dublin progress and telephone. [volume],sn86088905,1916,1923,Weekly,Weekly,English,Texas-Erath-Dublin,"Dublin, Tex."
The Dublin progress. [volume],sn86088459,1888,1916,Weekly,Weekly,English,Texas-Erath-Dublin,"Dublin, Tex."
The Dublin progress.,sn87091201,1923,9999,Weekly,Weekly,English,Texas-Erath-Dublin,"Dublin, Tex."
The Dublin shamrock news.,sn87091189,1976,1977,Weekly,Weekly,English,Texas-Erath-Dublin,"Dublin, Tex."
The Dublin telephone. [volume],sn86089524,1885,1999,Weekly,Weekly,English,Texas-Erath-Dublin,"Dublin, Tex."
The Dublin weekly telephone. [volume],sn86088730,1000,1916,Weekly,Weekly,English,Texas-Erath-Dublin,"Dublin, Tex."
The Dude wrangler. [volume],sn86089491,1948,1999,Monthly,Monthly,English,Texas-Bandera-Bandera,"Bandera, Tex."
The Dumas evening news.,sn86090687,1937,1999,Daily,Daily,English,Texas-Moore-Dumas,"Dumas, Tex."
Dumas Sunday news.,sn86090688,1949,1950,Weekly,Weekly,English,Texas-Moore-Dumas,"Dumas, Tex."
The Dumas weekly headlight.,sn86088039,1897,1999,Weekly,Weekly,English,Texas-Moore-Dumas,"Dumas, Tex."
Duncanville daily news.,sn88083213,1973,1973,Daily,Daily,English,Texas-Dallas-Duncanville,"Duncanville, Tex."
Duncanville suburban.,sn86013957,1973,9999,"Semiweekly, except weekly on Thanksgiving, Christmas, and New Years weeks",Semiweekly,English,Texas-Dallas-Duncanville|Texas-Ellis-Italy,"Duncanville, Tex."
"Bee County independent, el exito. [microfilm reel]",2003263937,1970,9999,Weekly,Weekly,English|Spanish,Texas-Bee-Beeville,"Beeville, Tex."
"Bee County independent, el e´xito. [volume]",sn86088120,1970,9999,Weekly,Weekly,English|Spanish,Texas-Bee-Beeville,"Beeville, Tex."
The Bee-picayune. [volume],sn86088133,1928,1943,Weekly,Weekly,English,Texas-Bee-Beeville,"Beeville, Tex."
The Bee.,sn88083570,1965,1966,Weekly,Weekly,English,Texas-Cass-Hughes Springs,"Hughes Springs, Tex."
The Bee.,sn90004896,1984,9999,Weekly,Weekly,English,Texas-Cass-Hughes Springs|Texas-Morris-Daingerfield,"Daingerfield, Tex."
Beeville bee-picayune. [volume],sn86002227,1943,9999,Semiweekly,Semiweekly,English,Texas-Bee-Beeville,"Beeville, Tex."
The Beeville bee. [volume],sn86088148,1886,1928,Weekly,Weekly,English,Texas-Bee-Beeville,"Beeville, Tex."
The Beeville picayune. [volume],sn86088149,1909,1928,Weekly,Weekly,English,Texas-Bee-Beeville,"Beeville, Tex."
The Beeville picayune.,sn87090476,1897,1899,Weekly,Weekly,English,Texas-Bee-Beeville,"Beeville, Tex."
Beeville weekly picayune. [volume],sn86088150,1899,1909,Weekly,Weekly,English,Texas-Bee-Beeville,"Beeville, Tex."
Beeville weekly picayune.,sn87090475,1889,1897,Weekly,Weekly,English,Texas-Bee-Beeville,"Beeville, Tex."
Beilagezur Frein Presse Fu¨r Texas.,sn88083528,1800,9999,NA,Missing,German,Texas-Bexar-San Antonio,"San Antonio, Tex."
El Bejaren~o. [volume],sn84045521,1855,1899,Weekly (irregular),Irregular,Spanish,Texas-Bexar-San Antonio,San Antonio
Belden monitor.,sn88083493,1800,9999,Weekly,Weekly,English,Texas-Morris-Belden,"Belden, Tex."
Bell County bulletin.,sn87091174,1932,9999,Weekly,Weekly,English,Texas-Bell-Temple,"Temple, Tex."
Bell County Democrat.,sn86088342,1897,1911,Semiweekly,Semiweekly,English,Texas-Bell-Belton,"Belton, Tex."
Bell County news.,sn87091173,1884,9999,Weekly,Weekly,English,Texas-Bell-Temple,"Temple, Tex."
The Bell County reporter.,sn88083049,1000,9999,Weekly,Weekly,English,Texas-Bell-Killeen,"Killeen, Tex."
Bell County socialist.,64002,1913,9999,Weekly,Weekly,English,Texas-Bell-Temple,"Temple, Bell County, Tex."
The Bell punch.,sn88083816,1800,9999,Weekly,Weekly,English,Texas-Duval-San Diego,"San Diego, Tex."
The Bellaire Texan.,sn87090633,1900,9999,Weekly,Weekly,English,Texas-Harris-Bellaire,"Houston, Tex."
Bay City breeze.,sn88083620,1894,1898,Weekly,Weekly,English,Texas-Matagorda-Bay City|Texas-Matagorda-Elliotts P.O,"Elliotts P.O., Tex."
