County,Library Name,Population of the Legal Service Area,Legal Establishment,Region
Shelby,Fannie Brown Booth Memorial Library,"5,278",Non-profit,Houston Area Region
Shelby,Timpson Public Library,"3,925",Library District,Houston Area Region
Sherman,Sherman County Public Library,"3,079",County,Texas Panhandle Region
Smith,Bullard Community Library,"3,558",Non-profit,Northeast Texas Region
Smith,Cameron-J Jarvis Troup Municipal Library,"2,039",City,Northeast Texas Region
Smith,Lillie Russell Memorial Library,"6,149",Non-profit,Northeast Texas Region
Smith,Tyler Public Library,"105,729",City,Northeast Texas Region
Smith,Whitehouse Community Library,"8,799",Non-profit,Northeast Texas Region
Starr,Rio Grande City Public Library,"14,521",City,South Texas Region
Stephens,Breckenridge Library,"9,433",Non-profit,Big Country Region
Sterling,Sterling County Public Library,"1,311",County,Big Country Region
Stonewall,Stonewall County Library,"1,362",County,Big Country Region
Sutton,Sutton County Library,"3,758",County,Big Country Region
Swisher,Swisher County Library,"7,462",County,Texas Panhandle Region
Tarrant,Arlington Public Library System,"398,112",City,North Texas Region
Tarrant,Azle Memorial Library,"18,437",City,North Texas Region
Tarrant,Bedford Public Library,"49,464",City,North Texas Region
Tarrant,Benbrook Public Library,"23,566",Library District,North Texas Region
Tarrant,Colleyville Public Library,"26,945",City,North Texas Region
Tarrant,Crowley Public Library,"15,649",City,North Texas Region
Tarrant,Euless Public Library,"57,346",City,North Texas Region
Tarrant,Forest Hill Public Library,"12,959",Library District,North Texas Region
Tarrant,Fort Worth Public Library,"895,008",City,North Texas Region
Tarrant,Grapevine Public Library,"53,976",City,North Texas Region
Tarrant,Haltom City Public Library,"44,339",City,North Texas Region
Tarrant,Haslet Public Library,"1,855",City,North Texas Region
Tarrant,Hurst Public Library,"38,992",City,North Texas Region
Tarrant,John Ed Keeter Public Library,"23,871",City,North Texas Region
Tarrant,Keller Public Library,"47,350",City,North Texas Region
Tarrant,Kennedale Public Library,"8,543",City,North Texas Region
Tarrant,Mansfield Public Library,"70,981",City,North Texas Region
Tarrant,Mary Lou Reddick Public Library,"4,957",City,North Texas Region
Tarrant,North Richland Hills Public Library,"70,836",City,North Texas Region
Tarrant,Richland Hills Public Library,"8,030",City,North Texas Region
Tarrant,River Oaks Public Library,"7,703",City,North Texas Region
Tarrant,Southlake Public Library,"32,269",City,North Texas Region
Tarrant,Watauga Public Library,"24,555",City,North Texas Region
Tarrant,White Settlement Public Library,"17,896",City,North Texas Region
Taylor,Abilene Public Library,"122,999",City,Big Country Region
Taylor,Merkel Public Library,"2,620",City,Big Country Region
Terrell,Terrell County Public Library,823,County,Texas Trans-Pecos Region
Terry,Kendrick Memorial Library,"12,287",County,West Texas Region
Throckmorton,Depot Public Library,"1,515",Non-profit,Big Country Region
Titus,Mount Pleasant Public Library,"16,275",City,Northeast Texas Region
Tom Green,Tom Green County Library System,"118,189",County,Big Country Region
Travis,Austin Public Library,"964,254",City,Central Texas Region
Travis,Bee Cave Public Library,"6,765",City,Central Texas Region
Travis,East Travis Gateway Library District,"24,041",Library District,Central Texas Region
Travis,Jonestown Community Library,"2,083",City,Central Texas Region
Travis,Lago Vista Public Library,"7,117",City,Central Texas Region
Travis,Lake Travis Community Library,"33,642",Library District,Central Texas Region
Travis,Pflugerville Public Library,"64,431",City,Central Texas Region
Travis,Wells Branch Community Library,"14,620",Library District,Central Texas Region
Travis,Westbank Community Library District,"30,846",Library District,Central Texas Region
Tyler,Allan Shivers Library & Museum,"21,696",Multi-jurisdictional,Houston Area Region
Upshur,Upshur County Library,"36,468",County,Northeast Texas Region
Upton,Rankin Public Library,"2,000",County,West Texas Region
Upton,Upton County Public Library,"1,671",County,West Texas Region
Uvalde,El Progreso Memorial Library,"21,598",Non-profit,Alamo Area Region
Uvalde,Sabinal Public Library,"2,238",City,Alamo Area Region
Uvalde,Utopia Memorial Library,"3,166",Non-profit,Alamo Area Region
Val Verde,Val Verde County Library,"49,208",County,Alamo Area Region
Van Zandt,Grand Saline Public Library,"7,160",City,Northeast Texas Region
Van Zandt,Van Zandt County Library,"19,652",County,Northeast Texas Region
Victoria,Victoria Public Library,"92,035",City-County,South Texas Region
Walker,Huntsville Public Library,"27,032",City,Houston Area Region
Walker,New Waverly Public Library,"4,909",Non-profit,Houston Area Region
Waller,Waller County Library,"53,126",County,Houston Area Region
Ward,Ward County Library,"11,720",County,West Texas Region
Washington,Nancy Carol Roberts Memorial Library,"17,198",City,Central Texas Region
Webb,Laredo Public Library,"261,639",City,South Texas Region
Wharton,Wharton County Library,"41,619",County,Houston Area Region
Wheeler,Shamrock Community Library,"5,191",City,Texas Panhandle Region
Wichita,Burkburnett Library,"11,250",City,North Texas Region
Wichita,Electra Public Library,"2,706",City,North Texas Region
Wichita,Tom Burnett Memorial Library,"6,370",City,North Texas Region
Wichita,Wichita Falls Public Library,"104,576",City,North Texas Region
Wilbarger,Carnegie City-County Library,"12,820",Non-profit,North Texas Region
Williamson,Cedar Park Public Library,"76,999",City,Central Texas Region
Williamson,Florence Public Library,"1,271",City,Central Texas Region
Williamson,Georgetown Public Library,"74,180",City,Central Texas Region
Williamson,Hutto Public Library,"26,434",City,Central Texas Region
Williamson,Jarrell Community Library,0,Non-profit,Central Texas Region
Williamson,Leander Public Library,"56,111",City,Central Texas Region
Williamson,Liberty Hill Public Library,"15,154",Library District,Central Texas Region
Williamson,Round Rock Public Library System,"128,739",City,Central Texas Region
Williamson,Taylor Public Library,"17,167",City,Central Texas Region
Wilson,Wilson County Public Libraries,"50,224",County,Alamo Area Region
Winkler,Winkler County Library,"7,720",County,West Texas Region
Wise,Alvord Public Library,"5,369",City,North Texas Region
Wise,Bridgeport Public Library,"23,355",City-County,North Texas Region
Wise,Chico Public Library Inc,"4,083",Non-profit,North Texas Region
Wise,Decatur Public Library,"24,770",City,North Texas Region
Wise,Newark Public Library,"4,264",City,North Texas Region
Wise,Rhome Community Library,"6,464",Non-profit,North Texas Region
Wood,Allen Memorial Public Library,"4,525",City,Northeast Texas Region
Wood,Mineola Memorial Library,"10,022",Non-profit,Northeast Texas Region
Wood,Quitman Public Library,"6,327",City,Northeast Texas Region
Yoakum,Yoakum County Library,"3,523",County,West Texas Region
Yoakum,Yoakum County/Cecil Bickley Library,"5,068",County,West Texas Region
Young,Library of Graham,"8,694",City,North Texas Region
Young,Olney Community Library and Arts Center,"9,351",Non-profit,North Texas Region
Zapata,Olga V Figueroa Zapata County Public Library,"14,190",County,South Texas Region
